,N.º,Título,Compositor(es),Local,Duração,
0,1.,"""Ciumeira""",Anair de PaulaDiego FerrariEverton MatosGuilherme FerrazPaulo PiresRay AntonioSando Neto,Belém,3:10,
1,2.,"""Sem Sal""",Benício NetoJunior GomesRenno PoetaVine ShowVinícius Poeta,Fortaleza,2:42,
2,3.,"""Bem Pior Que Eu""",Gustavo MartinsMurilo HuffRafael AugustoRicardo VismarckRonael,Goiânia,2:48,
3,4.,"""Casa da Mãe Joana"" (part. Henrique & Juliano)",Elcio di CarvalhoThales LessaVictor Hugo,Palmas,3:07,
4,5.,"""Bye Bye""",MartinsHuffAugustoVismarckRonael,São Luís,2:46,
5,6.,"""Bebi Liguei""",Gabriel AgraPhilipe PancadinhaLessaHugo,Natal,2:40,
6,7.,"""Passa Mal""",FerrariMatosFerrazLeo SaggaPiresAntonioNeto,Recife,2:34,
7,8.,"""Amigo Emprestado""",Douglas MelloFlavinho TintoMartinsNando Marx,João Pessoa,2:39,
8,9.,"""Sabiá"" (part. Henrique & Juliano)",Edu Valim,Palmas,3:06,
9,10.,"""Bebaça"" (part. Maiara & Maraisa)",MartinsHuffAugustoVismarckRonael,Cuiabá,2:55,
10,11.,"""Obrigado por Estragar Tudo""",di CarvalhoJuan MarcusJuliano TchulaNatanael Silva,Campo Grande,2:56,
11,12.,"""Love À Queima Roupa""",Gabriel VittorJota Lennon,Maceió,2:29,
